"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1059","test_admin_login","tests","Thu Aug 08 01:21:48 CEST 2024","passed","Thu Aug 08 01:21:49 CEST 2024","","test_admin_page","",""
"","6790","test_register_new_user","tests","Thu Aug 08 01:22:38 CEST 2024","passed","Thu Aug 08 01:22:45 CEST 2024","","test_register_page","",""
"","9913","test_add_to_cart","tests","Thu Aug 08 01:22:23 CEST 2024","passed","Thu Aug 08 01:22:33 CEST 2024","","test_main_page","",""
"","1201","test_user_login","tests","Thu Aug 08 01:22:19 CEST 2024","passed","Thu Aug 08 01:22:21 CEST 2024","","test_login_page","",""
"","393","test_search_product_card","tests","Thu Aug 08 01:22:35 CEST 2024","passed","Thu Aug 08 01:22:36 CEST 2024","","test_product_page","",""
"","648","test_prices_change_in_catalog_when_change_currency","tests","Thu Aug 08 01:22:18 CEST 2024","passed","Thu Aug 08 01:22:18 CEST 2024","","test_catalog_page","",""
"","390","test_search_registration","tests","Thu Aug 08 01:22:37 CEST 2024","passed","Thu Aug 08 01:22:37 CEST 2024","","test_register_page","",""
"","62805","test_change_currency","tests","Thu Aug 08 01:22:46 CEST 2024","passed","Thu Aug 08 01:23:49 CEST 2024","","test_top_panel","",""
"","22259","test_add_new_product","tests","Thu Aug 08 01:21:50 CEST 2024","failed","Thu Aug 08 01:22:12 CEST 2024","","test_admin_page","",""
"","573","test_prices_change_when_change_currency","tests","Thu Aug 08 01:22:34 CEST 2024","passed","Thu Aug 08 01:22:34 CEST 2024","","test_main_page","",""
"","396","test_search_for_product_list","tests","Thu Aug 08 01:22:16 CEST 2024","passed","Thu Aug 08 01:22:17 CEST 2024","","test_catalog_page","",""
"","387","test_search_for_carousel","tests","Thu Aug 08 01:22:22 CEST 2024","passed","Thu Aug 08 01:22:22 CEST 2024","","test_main_page","",""
"","521","test_search_administration","tests","Thu Aug 08 01:21:46 CEST 2024","passed","Thu Aug 08 01:21:47 CEST 2024","","test_admin_page","",""
"","1792","test_delete_product","tests","Thu Aug 08 01:22:13 CEST 2024","passed","Thu Aug 08 01:22:15 CEST 2024","","test_admin_page","",""
